category,direction,name,website
Seguridad Privada - Compañías;Seguridad Privada;Seguridad Electrónica - Equipos;Seguridad Electrónica,Dirección: Piedrahita 537 entre Lorenzo de Garaycoa y Rumichaca,GUAYPRO CIA. LTDA.,http://www.guaypro.com
Empresas Eléctricas,Dirección: Loja y Malecón,Corporación Nacional de Electricidad CNEL EP Unidad de Negocio El Oro,http://www.cnelep.gob.ec
Fumigadoras Empresas,Dirección: Guayacanes y la 5ta Cond. Lomas 81 Dept. 1,Fumisem Cia. Ltda.,
Limpieza - Servicios;Fumigadoras Empresas;Fumigadoras,Dirección: Circunvalación Sur 1116 y Laureles,Óptima Fumigaciones,http://www.optimafumigaciones.com
Artículos Promocionales,Dirección: Av de Los Shyris y Av Gaspar de Villarroel (esq) Centro Comercial La Galería Local 8,Milenium Merchandise,http://www.mileniumpromocionales.com.ec
Fumigadoras Empresas,Dirección: Av. Francisco de Orellana - Orquideas Mz 1068.,FUMIGSA -FUMIGACIONES URBANAS DEL GUAYAS S.A.,
Fumigaciones Empresas,Dirección: Cdla Guayacanes,Solconplag,http://www.solconplag.com
Seguros - Agentes y Compañías,"Dirección: Urdesa, Av El Rotarismo N312 E/ La 1era y La 5ta",Zurich Seguros Ecuador S.A.,http://www.zurichseguros.com.ec
Uniformes de Trabajo;Uniformes Empresariales;Bordados,"Dirección: Km 8 1/2  Vía a Daule entrando por la Fábrica de Pepsi, Coop. Juan Montalvo",Gonbatex,http://www.gonbatex.com
Publicidad;Editores de Guías,Dirección: Av 9 de Octubre 1911 E/ Esmeraldas y Los Ríos Edif Finansur Piso 14,Edina S.A.,http://www.edina.com.ec
Seguridad Privada - Compañías;Seguridad Privada,Dirección: Edificio Axun Vélez 131 y Chile 4to Piso | Oficina #1,SATFORCE CIA.LTDA.,http://www.satforce.com.ec
Agroquímicos,Dirección: Cdla Atarazana Av Carlos Luis y Av C L Plaza Dañin Blq 3 Lc 2,Incoagro Cía. Ltda.,http://www.incoagro.com
Transporte de Personal,Dirección: Garzota 2 Etp Mz 145  Viilla 5 Pta. Baja,Corpboy S.A.,http://www.corpboy.com
Seguridad Privada - Compañías,Dirección: Cdla La Garzota 1 Mz 12 Sl 5,Oceansecurity Cia. Ltda.,http://www.oceansecurity.net
Laboratorios Clínicos,"Dirección: Cdla. Unión y Progreso, Calle Alejandro Andrade Coello, Mz. A  SL 11 y Av. Fco. de Orellana (Diagonal al C.C. San Marino)", INTERLAB S.A.,http://www.interlab.com.ec
Seguridad Privada,Dirección: Cdla Garzota 3 Mz 80 Sl 2,1700 Custodia - Nova,http://www.nova.ec
Call Center,Dirección: Av 6 de Diciembre N33-55 y Av Eloy Alfaro,Abiatar S.A.,http://www.abiatar.com.ec
Actuarios,Dirección: Calle Dr. Emilio Romero Menéndez y Av Benjamín Carrión Edif. City Office Of. 725.,Actuaria Cía. Ltda.,http://www.actuaria.com.ec
"Cirugía Plástica, Reconstructiva y Estética",Dirección: Av. Machala 2405 y Cuenca Esquina,Alfredo Galindo Mosquera Dr. EsculturArte Clínica Estética,
Agua Potable,Dirección: Av Samborodón este #10400 junto al cuerpo de bomberos,Amagua-CEM Aguas de Samborondón,http://www.amagua.com
Compresores,Dirección: Av Isidro Ayora Bloque 7 Bastión Popular,Atlas Copco Emcovele S.A.,http://www.atlascopco.com.ec
Computadoras;Computación Equipos de Alquiler;Audiovisuales,Dirección: Guayaquil,Audio Videosystem S.A.,http://www.audiovideosistemas.com
Suministros de Oficina;Encendedores;Bolígrafos,Dirección: Km 5 Vía Daule Calle 1era Mapasingue Este,BIC Ecuador,http://www.bicworld.com
Mallas de Acero Inoxidable;Bandas Transportadoras,"Dirección: Samanes 3, Av Isidro Ayora Centro Comercial Polaris Local 3 y 4",Bandas y Bandas,http://www.bandasybandas.com
Productos para Acuacultura;Minerales - Fábricas;Insumos Agrícolas,Dirección: Vía La Costa Km 20,Calmosacorp Cia.Ltda. - Calizas y Minerales,http://www.calmosacorp.com
Asociaciones,Dirección: Av de los Shyris 41-151 e Isla Floreana Edif Axios Ofc. 905,Centro de la Industria Láctea,http://www.cilecuador.org
Internet,Dirección: Guayacanes Mz 172 V 19,Coachcompany - Powernet,http://www.powernet.ec
Gases Industriales,"Dirección: Centro Comercial Aranjuez Local 1, Km 7.5 Vía a Daule",Corporación RAR S.A.,http://corprar.blogspot.com
Lubricantes;Instalaciones Industriales de Gas;Gas,"Dirección: Cdla. La Atarazana, Av Pedro Menéndez Guilbert y Nicasio Safadi",ENI ECUADOR S.A.,http://www.eniecuador.ec
Transporte de Carga,Dirección: Km 22.5 vía a la Costa Mz 551 Sl1,Galagans S.A.,http://www.galagans.com
Tuberías de Acero;Hierro - Productos;Hierro;Ferreterías;Aceros  Inoxidables,Dirección: Eloy Alfaro 2401 E/ Vacas Galindo y Bolívia,Geroneto S.A.,http://www.geroneto.com
Globos;Fiestas;Eventos;Decoraciones,Dirección: Chile 2621 entre Portete y General Gómez,Globo City Express,http://www.globocity.com.ec
Catering;Catering,Dirección: Av de las Américas s/n entre Aeropuerto José Joaquín de Olmedo y Aduanas,Goddard Catering Group,http://www.goddard-catering.com
Útiles Escolares;Manualidades;Eventos;Artes Manualidades,"Dirección: Mapasingue Este, Via a Daule Km 4.5 Calle3era y Callejón 2do.",Grupo Imar S.A.,http://grupoimarventas.com
Universidades,Dirección: Padre Solano 324 y Boyaca 1er Ps,Instituto Superior Tecnológico de Formación,http://www.formacion.edu.ec
"Hoteles,  Bares y Restaurantes Equipos Para;Equipos para Restaurantes;Equipos para Heladerías",Dirección: Av. Juan Tanca Marengo Km 2.5 Mz 245 Sl 23 Urdenor 2,Kellage,http://www.kellage.com
Ferreterías;Electricidad Efectos y Equipos;Comercio,Dirección: Av. Carlos Julio Arosemena Tola Km 2.5 (Junto a la Primax),Kitton S.A. - Home Center,http://www.kitton.com.ec
Ropa para Caballeros;Confecciones,Dirección: Lorenzo de Garaycoa 1612 y 1619 entre Colón y Alcedo,La Moda Americana,
Software;Informática,Dirección: Baquerizo Moreno 713 y Luis Urdaneta Esq.,Maint S.A.,http://www.maintlatam.com
Llaves - Duplicados;Llaves;Cerraduras,Dirección: Piedrahita 252 y Ximena Esq.,Marce's Key Shop,http://www.marcekeyshop.com
Impresoras,Dirección: Urbanización Santa Leonor Mz 6 Solar 11 - 12,Martec Cia. Ltda.,http://www.martec.com.ec
Internet,Dirección: Hernando de la Cruz N31-120 y Mariana de Jesús Planta Baja,Open Internet,http://www.openinternet.net.ec
Aire Acondicionado Equipos y Sistemas;Aire Acondicionado - Ductos,"Dirección: Miraflores, Calle Primera #211 entre Central y  Guayas",ProMARCO,http://www.promarcoac.com
Seguros - Agentes y Compañías;Seguros,Dirección: Av Francisco de Orellana Edif. World Trade Center Torre A Piso 10,Seguros del Pichincha,http://www.segurosdelpichincha.com
Seguros - Agentes y Compañías;Seguros,"Dirección: Av Juan Tanca Marengo, C.C. Dicentro Ofc 14-15",Serviseguros S.A.,http://www.serviseguros.com.ec
Universidades,"Dirección: Km 7.5 Vía a la Costa, a 1 Km de Riocentro Ceibos",Universidad del Pacífico,http://www.upacifico.edu.ec
Veterinarios Productos,"Dirección: Parroquia Pifo, Sector Chaupimolino, Pasaje Vargas Lt N2 y Manuel Burbano",Vimin - Vitaminas y Minerales C.A.,http://www.vimin.com.ec
Publicidad,"Dirección: Av José Joaquín Orrantia, Torres de Mall del Sol, Torre B",i tres,http://www.itres.com.ec
Ópticas,Dirección: Luque 657 y García Avilés Esq.,Opticentro Sandra,
,"Dirección: Km 5 Vía a Daule  y Av 2da, Mapasingue Este",Ac Depot del Ecuador,http://www.gamatec.com
Repuestos para Vehículos-Automotores,Dirección: Luque 1412 y García Moreno ( frente a Radio Cristal ),Almacén de Repuestos El Escarabajo,
Confecciones;Alquiler de Vestidos;Alquiler Trajes de Etiqueta,Dirección: Gómez Rendón 2218 y Tungurahua,Confecciones Benavidez,http://www.confeccionesbenavidez.com
Confecciones,Dirección: P P Gómez 121-B y Lorenzo de Garaicoa,Creaciones Ramos,
Serigrafía;Offset;Gigantografía,"Dirección: Av. de las Américas y Calle 1ra. Esquina, (Junto a Pelucas y Postizos)","Diseño de Paginas Web en Guayaquil - Gigantografia, Serigrafia, Offset - Compuservice",http://www.compuservice.biz
Eventos,Dirección: Cdla La Alborada 4ta Etp Mz DL Sl 5 Esq.,GLAMOUR EVENTOS,
Consultores Empresariales;Capacitación Profesional,"Dirección: Av. 9 de Octubre y Los Ríos, Edf Finansur, Piso 20 Ofc 5 - 6",GVC Consultores Asociados,http://www.gvc.com.ec
Imprentas,Dirección: José Mascote 1311 y Aguirre,Gráficas Rugoca,http://www.rugoca.com
Purificadores de Aire;Purificadores de Agua;Filtros para Agua Industriales y Domésticos,Dirección: Cdla Nueva Kennedy Calle B-104 y 4ta. ESTE,Healthway® Purificadores de Aire - Dracma S.A.,http://www.dracma.com.ec
"Colegios, Escuelas y Centros de Estudios",Dirección: Cdla Puerto Azul Km.10.5 Vía a la Costa,ILA INTERNATIONAL LANGUAGE ACADEMY,http://www.interamerican.edu.ec
Reactivos de Laboratorio;Laboratorios Clínicos-Químicos Equipos y Reactivos;Laboratorios Clínicos-Químicos Equipos y Reactivos;Laboratorios Clínicos;Equipos para Laboratorios,Dirección: Kennedy Nueva Av San Jorge 428 y La 10ma Oeste,Laboratorio Teco-Gram,http://www.tecogram.info
Ambulancias,"Dirección: Av Fco. Boloña #701 y Calle Décima, Cdla Kennedy Vieja",MEC,http://www.mec.com.ec
Confecciones;Alquiler de Vestidos,Dirección: Av Quito 4002 y El Oro,Magatte Atelier de Mode,http://www.magatte-atelier.com
Muebles de Oficina - Fábricas y Ventas;Muebles Metálicos,"Dirección: Km. 6.5  Vía a Daule, Prosperina 2da. Av. Mz. 2 Villa 11",Muebles de Metal Zambrano,
Confecciones,Dirección: Francisco Segura 1615 entre la 25 y 26ava,Sastrería y Moda Bolívar (Asoprounit),
Señalética;Seguridad Industrial;Extintores de Incendios - Mantenimiento Recarga y Venta ;Extintores - Venta;Extintores,Dirección: Cdla. Alborada 6ta. Etp. Mz 670-D Sl.20 Av. Fco. de Orellana y B. Carrión.,Seinta,http://www.extintoreseinta.simplesite.com
Suministros de Oficina;Limpieza Artículos;Distribuidores en General,Dirección: Guayacanes 1era Etp. Mz 103 Edf. 12,Supplicent Ecuador S.A.,http://www.supplicent.com
,Dirección: Urdesa Bálsamos 1221 y Costanera,Uniformes Gran Moda,
,Dirección: Esmeraldas 1317 E/ Aguirre y Clemente Ballén,Confecciones Elliot Atelier,
Psicólogos Clínicos,Dirección: Cdla La Garzota 2 Mz 65 Villa 5,Delgado Vargas María Psic. Cl.,
Confecciones,Dirección: Brasil # 920 y 6 de Marzo,Confecciones El Figurín,
"Computadoras - Servicios, Suministros y Mantenimiento",Dirección: Bolivia 2704 y E/ Gallegos Lara y Leonidas Plaza,JTECH - Asistencia Informática,
